title,price,location,postdate
Private sunny room,$160,Ultimo,03/09/2020
2 rooms in Hurstville,$150,Hurstville,03/09/2020
Big sunny master room in the heart of Randwick,$350,Randwick,03/09/2020
Room for rent,$200,Liverpool,03/09/2020
Master bedroom $270,,Waitara,03/09/2020
Room with separate bathroom for rent,$200,Bankstown,03/09/2020
ROOM FOR RENT,$170,Guildford,03/09/2020
ROOM FOR RENT,$270,Bondi Junction,03/09/2020
Flatmate needed in Freshly renovated apartment..,$225,North Parramatta,03/09/2020
Own Loft Room $160pw Inc Bills,$160,Dee Why,03/09/2020
Room available in Granville for  Nepalese,,Granville,03/09/2020
Room for Rent,$150,Riverwood,03/09/2020
Wanted: Room at Liverpool areas,$250,Liverpool,03/09/2020
Double room inner Sydney,$200,Newtown,03/09/2020
Independent Room for Rent,$210,Kogarah,03/09/2020
Room available in South Coogee,$290,South Coogee,03/09/2020
